IATA,ICAO,Airport Name,City Served,Region,Location,Time Zone,Runways Count,Terminal Count,International Status,Owned By,Operated By,Website URL,Date Opened
AAL,EKYT,Aalborg Airport,Aalborg,North Denmark,"Aalborg, Denmark",UTC+01:00,2,1,International,Aalborg Lufthavn A/S,Aalborg Lufthavn A/S,https://www.aal.dk/,1936
AAR,EKAH,Aarhus Airport,Aarhus,Central Denmark,"Tirstrup, Aarhus, Denmark",UTC+01:00,2,1,International,Aarhus Lufthavn A/S,Aarhus Lufthavn A/S,https://www.aar.dk/,1943
ABV,DNAA,Nnamdi Azikiwe International Airport,Abuja,Federal Capital Territory,"Abuja, Nigeria",UTC+01:00,1,2,International,Federal Airports Authority of Nigeria,Federal Airports Authority of Nigeria,https://www.faannigeria.org/,1982
ABZ,EGPD,Aberdeen International Airport,Aberdeen,Scotland,"Dyce, Aberdeen, Scotland",UTC+00:00,1,1,International,Aberdeen International Airport Limited,AGS Airports,https://www.aberdeenairport.com/,1934
ACC,DGAA,Kotoka International Airport,Accra,Greater Accra,"Accra, Ghana",UTC+00:00,2,3,International,Ghana Airports Company Limited,Ghana Airports Company Limited,https://www.ghanaairports.com.gh/,1957
ACE,GCRR,César Manrique-Lanzarote Airport,Arrecife,Canary Islands,"Arrecife, Lanzarote, Spain",UTC+00:00,2,2,International,AENA,AENA,https://www.aena.es/,1970
ACH,LSMA,Altenrhein Airport,St. Gallen,St. Gallen,"Altenrhein, Switzerland",UTC+01:00,1,1,International,Private ownership,People's Viennaline,https://www.peoples.ch/,1985
ACI,EGJA,Alderney Airport,Alderney,Channel Islands,"Alderney, Channel Islands",UTC+00:00,3,1,Domestic,States of Guernsey,States of Guernsey,https://www.alderney.gov.gg/,1935
ADA,LTAF,Adana Şakirpaşa Airport,Adana,Adana Province,"Adana, Turkey",UTC+03:00,1,1,International,DHMI (State Airports Authority),DHMI,https://www.dhmi.gov.tr/,1937
ADB,LTBJ,İzmir Adnan Menderes Airport,İzmir,İzmir Province,"Gaziemir, İzmir, Turkey",UTC+03:00,2,2,International,TAV Airports,TAV Airports,https://www.adnanmenderesairport.com/,1987
ADD,HAAB,Bole International Airport,Addis Ababa,Oromia,"Addis Ababa, Ethiopia",UTC+03:00,2,2,International,Ethiopian Airlines,Ethiopian Airports Enterprise,https://www.ethiopianairlines.com/,1961
AES,ENAL,Ålesund Airport, Vigra,Ålesund,Møre og Romsdal,UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1958
AEY,BIAR,Akureyri Airport,Akureyri,Northeast Iceland,"Akureyri, Iceland",UTC+00:00,1,1,International,Isavia,Isavia,https://www.isavia.is/,1928
AGA,GMAD,Agadir–Al Massira Airport,Agadir,Souss-Massa,"Agadir, Morocco",UTC+01:00,1,1,International,ONDA (National Airports Authority),ONDA,https://www.onda.ma/,1952
AGP,LEMG,Málaga–Costa del Sol Airport,Málaga,Andalusia,"Málaga, Spain",UTC+01:00,3,3,International,AENA,AENA,https://www.aena.es/,1919
AHO,LIEA,Alghero–Fertilia Airport,Alghero,Sardinia,"Fertilia, Alghero, Italy",UTC+01:00,1,1,International,SOGEAAL,SOGEAAL,https://www.aeroportodialghero.it/,1971
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,Ajaccio,Corsica,"Ajaccio, France",UTC+01:00,1,1,International,CCI de la Corse du Sud,CCI de la Corse du Sud,https://www.2a.cci.fr/,1961
AJR,ESNX,Arvidsjaur Airport,Arvidsjaur,Norrbotten,"Arvidsjaur, Sweden",UTC+01:00,1,1,Domestic,Arvidsjaur Municipality,Arvidsjaur Airport AB,https://www.arvidsjaurairport.se/,1990
AKT,HDAK,RAF Akrotiri,Akrotiri,British Overseas Territory,"Akrotiri, Cyprus",UTC+02:00,1,1,Military,UK Ministry of Defence,UK Ministry of Defence,,1956
ALA,UAAA,Almaty International Airport,Almaty,Almaty Region,"Almaty, Kazakhstan",UTC+05:00,2,2,International,Almaty International Airport JSC,Almaty International Airport JSC,https://www.almaty.aero/,1935
ALC,LEAL,Alicante–Elche Miguel Hernández Airport,Alicante,Valencian Community,"Alicante, Spain",UTC+01:00,1,2,International,AENA,AENA,https://www.aena.es/,1967
ALF,ENAT,Alta Airport,Alta,Finnmark,"Alta, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1963
ALG,DAAG,Houari Boumediene Airport,Algiers,Algiers Province,"Algiers, Algeria",UTC+01:00,3,3,International,EGSA Alger,EGSA Alger,https://www.aeroporthouari-boumediene.dz/,1924
AMD,VAAH,Sardar Vallabhbhai Patel International Airport,Ahmedabad,Gujarat,"Ahmedabad, India",UTC+05:30,2,2,International,Adani Airports,Adani Airports,https://www.adaniairports.com/,1937
AMM,OJAI,Queen Alia International Airport,Amman,Amman Governorate,"Zizya, Amman, Jordan",UTC+03:00,2,2,International,Airport International Group,Airport International Group,https://www.qaiairport.com/,1983
AMS,EHAM,Amsterdam Airport Schiphol,Amsterdam,North Holland,"Haarlemmermeer, Netherlands",UTC+01:00,6,3,International,Schiphol Group,Schiphol Group,https://www.schiphol.nl/,1916
ANR,EBAW,Antwerp International Airport,Antwerp,Flanders,"Deurne, Antwerp, Belgium",UTC+01:00,1,1,International,EGIS,EGIS,https://www.antwerpairport.aero/,1923
ANU,TAPA,V. C. Bird International Airport,Antigua,Saint John,"Osbourn, Antigua and Barbuda",UTC-04:00,1,1,International,Antigua and Barbuda Airport Authority,Antigua and Barbuda Airport Authority,https://www.vcbia.com/,1949
AOI,LIPY,Ancona Falconara Airport,Ancona,Marche,"Falconara Marittima, Ancona, Italy",UTC+01:00,1,1,International,Aerdorica S.p.A.,Aerdorica S.p.A.,https://www.ancona-airport.com/,1928
